Unit Trust,Firm,Exposures
PRUDENTIAL INFLATION+ ,BRITISH AMERICAN TOBACCO PLC,2129550135
PRUDENTIAL INFLATION+ ,RICHEMONT SECURITIES AG ADR,507486870
NED INVESTMENTS STABLE ,STEINHOFF INVESTMENT HOLDINGS LD,593848865
NED INVESTMENTS STABLE ,'SASOL, LTD.',2278481640
NED INVESTMENTS STABLE ,RICHEMONT SECURITIES AG ADR,1296651405
NED INVESTMENTS STABLE ,RSA 21/12/27,2819926320
NED INVESTMENTS STABLE ,FOORD INTERNATIONAL TRUST,27801478005
NED INVESTMENTS STABLE ,SABMILLER PLC,1773230810
NED INVESTMENTS STABLE ,STANDARD BANK GROUP LTD.,2520784270
NED INVESTMENTS STABLE ,FIRSTRAND LIMITED,174583335
NED INVESTMENTS STABLE ,ASPEN PHARMACARE HOLDINGS PLC,2833870050
NED INVESTMENTS STABLE ,BRITISH AMERICAN TOBACCO PLC,2523271335
NED INVESTMENTS STABLE ,GROWTHPOINT PROPERTIES LTD.,175531665
