source,target,strength,date,type
CORONATION,NEWFUNDS,0.0001,2015,A
CORONATION,ALLAN,0.00011,2015,A
CORONATION,OASIS,0.00061,2015,A
CORONATION,ASHBURTON,0.00028,2015,A
CORONATION,MOMENTUM,0.00011,2015,A
CORONATION,GLACIER,0.00021,2015,A
CORONATION,COLOURFIELD,0.00011,2015,A
CORONATION,PRESCIENT,0.00026,2015,A
CORONATION,PRUDENTIAL,0.00446,2015,A
CORONATION,INVESTEC,0.00089,2015,A
PSG,STANLIB,0.00087,2015,A
PSG,ALLAN,0.00013,2015,A
PSG,MOMENTUM,0.00028,2015,A
PSG,PRESCIENT,0.00017,2015,A
PSG,PRUDENTIAL,0.0002,2015,A
US,ABSA,0.00015,2015,A
INVESTEC,STANLIB,0.00162,2015,A
INVESTEC,RECM,0.00066,2015,A
INVESTEC,SIM,0.00015,2015,A
INVESTEC,TRUFFLE,0.00022,2015,A
INVESTEC,DISCOVERY,0.00101,2015,A
INVESTEC,OLD,0.00079,2015,A
INVESTEC,ALLAN,0.00039,2015,A
INVESTEC,OASIS,0.00033,2015,A
INVESTEC,ASHBURTON,0.00014,2015,A
INVESTEC,MOMENTUM,0.00018,2015,A
INVESTEC,GLACIER,0.00016,2015,A
INVESTEC,PRESCIENT,0.00016,2015,A
INVESTEC,CORONATION,0.00089,2015,A
INVESTEC,NEDBANK,0.00035,2015,A
NEDBANK,STANLIB,0.00067,2015,A
NEDBANK,RECM,0.00027,2015,A
NEDBANK,SIM,0.00011,2015,A
NEDBANK,ALLAN,0.00012,2015,A
NEDBANK,OASIS,0.00014,2015,A
NEDBANK,MOMENTUM,0.00013,2015,A
NEDBANK,PRESCIENT,0.0001,2015,A
NEDBANK,PRUDENTIAL,0.00013,2015,A
NEDBANK,INVESTEC,0.00035,2015,A
